1	Bptf	Cbfa2t3h	Cdkn2a	Dnmt3a	Eif2b1	Erg	Ets1	Ets2	Etv6	Ezh2	Fli1	Foxo3a	Gata1	Gata2	Gata3	Gfi1	Gfi1b	Hhex	HoxA5	HoxA9	HoxB4	Ikzf1	Kit	Ldb1	Lmo2	Lyl1	Mecom	Meis1	Mitf	Mpl	Mrpl19	Myb	Nfe2	Notch1	Pbx1	Polr2a	Prdm16	Procr	Runx1	Sfpi1	Sh2b3	Smarcc1	Smarcc2	Tal1	Tcf7	Tet2	Ubc	Vwf
shGata2_027	3.524054065	2.187092535	15	3.106371355	1.200195715	3.189079095	15	15	2.173957855	6.526609365	-1.522290265	1.278154835	15	15	15	15	3.006588545	15	15	15	15	1.927001885	-0.432861884999999	3.615023885	0.977356734999999	0.107642615000001	15	-0.0801512249999998	15	-0.00569511499999997	1.893130165	-0.505797345	1.426502505	15	2.123105095	1.993087245	15	15	0.922260695	4.795798785	15	0.925493355000002	3.462505975	2.024639765	15	3.517889755	-1.993087245	15
shGata2_028	3.042978665	1.499219605	15	2.222591825	1.170389845	3.043256205	15	4.578631635	2.387529975	15	-0.0494608749999994	-0.377640355	15	1.671354165	4.125454865	15	2.123978275	15	15	15	3.243624095	0.733020864999999	-1.949070445	15	15	-0.606611895	6.262231715	0.0653892850000002	15	2.779321405	4.107481045	-0.0882921050000007	2.017030075	8.282377735	3.802596465	2.521333905	15	3.561657645	2.064188935	2.209058425	15	0.813738675000002	2.601546015	2.141992755	15	2.588717225	-2.521333905	15
shGata2_029	3.183308265	2.815442385	15	3.687178355	1.119337815	3.013513285	15	15	1.999876665	6.502716525	-1.359513125	-0.191268115000002	4.369197475	2.745364945	2.965884455	15	1.854778185	3.293090975	15	15	15	1.801092585	-0.797386205	1.629622555	0.898580614999998	-0.867070735	15	-1.415952775	15	2.070362465	2.819478215	-0.768363805	0.529907145000001	15	0.993415635	2.143653025	15	15	1.006305265	4.386032615	15	0.0972989449999986	3.474268305	2.872565245	15	4.327944905	-2.143653025	1.122122065
shGata2_030	3.394608335	4.098460765	15	2.765945275	0.673427535	3.206418775	15	3.844935945	1.233286245	6.217846385	0.398937485000001	-0.137968584999999	15	5.570404985	15	15	2.599481195	3.559942825	15	15	15	1.818812745	-0.888961224999999	0.970109924999999	15	-0.919211335	15	-0.463695464999999	15	3.712216435	1.110982885	-0.768083424999999	1.065882005	15	3.967191715	2.706895345	15	2.049272235	4.680044945	3.094125885	15	-0.110462085	4.276390625	2.959402975	15	15	-2.706895345	15
shGata2_031	2.355819115	1.211737415	15	3.038068885	0.926683744999998	15	15	2.880503875	1.500249195	15	-2.067395265	0.643980904999999	3.145799095	3.647296845	15	15	0.240672175	15	15	15	15	0.562177675000001	-1.885089295	3.132205795	0.132033785000001	-0.0754187450000003	15	0.211992994999999	15	2.256392185	2.585766405	-1.706088215	0.574405655	15	0.546760835000001	2.482619875	15	15	1.065335515	4.337806315	15	0.859129795000001	2.888515305	2.183869925	15	4.035774405	-2.482619875	15
shGata2_032	3.20424966	1.96171821	15	15	2.74372122	15	15	15	3.84843212	15	0.986589909999999	1.08877235	3.97789414	15	4.00679222	15	4.32601382	1.98216976	15	15	15	1.11653286	-1.34106658	-0.00659343999999962	1.81470282	-0.13873272	15	4.02093534	15	15	2.00468502	-1.8757767	0.140041110000002	15	2.80959138	1.6702801	15	15	1.29262921	15	15	1.09384952	2.04666933	1.68025694	15	3.77067944	-1.6702801	3.83803907
shGata2_033	4.31232353	2.71323877	15	3.56890979	3.28663295	15	15	4.68750712	3.68170622	15	2.31503103	1.38313453	15	4.74660821	15	15	2.72263221	3.69462328	15	15	15	2.42284352	-1.58077731	2.24101178	2.55522411	0.750063900000001	15	2.56741642	3.83701335	15	4.09853018	0.08178193	2.26565725	7.7574089	4.48382654	1.78533699	15	4.75089475	2.80665771	3.65593706	15	1.75984999	4.29889565	3.35578902	15	3.19838174	-1.78533699	15
shGata2_034	2.20834089	1.55780996	15	2.5701729	1.83749802	5.2683783	15	15	1.33451039	15	-1.47249433	0.0189559399999997	4.02979996	4.54497731	15	15	1.96490102	1.94172885	15	15	15	0.799757920000001	-1.54370718	0.93437999	1.48044287	-0.59030014	15	-0.38557271	15	1.43740516	15	-1.43104081	0.78265511	15	1.90647004	2.61626348	15	15	0.900228130000002	3.78329907	15	1.90546041	3.66557824	1.2148528	15	3.46948656	-2.61626348	1.4488288
shGata2_035	3.581477975	3.044795485	15	3.144565185	0.631207425000001	3.906870195	15	3.200294025	2.857594635	7.160282825	1.295847805	0.868257905	15	1.809453125	15	15	15	2.302801045	15	15	15	2.744077645	-0.887270885	3.099132425	2.947751745	0.214309995000001	15	0.311915355000002	4.714783055	3.417644865	1.551393445	-0.358103034999999	0.913931695	15	5.511691505	2.284637575	15	2.642320705	2.117461305	3.498236725	15	-0.0342498249999998	3.367810485	1.415585375	15	3.153143465	-2.284637575	15
shGata2_036	3.785588705	4.012682835	15	4.691208255	1.845359615	3.885344005	15	15	2.586838695	6.550509895	-0.316891385	0.191527795000001	15	5.583473335	15	15	4.036457855	3.504773835	15	15	4.575519775	2.549319915	-1.883158585	3.500690565	3.417788945	-0.301056145	15	2.137936285	15	2.114234575	2.611164005	-0.409382505	1.260699895	15	1.993878895	2.040597885	15	15	1.720725005	4.511441175	15	0.784613585000001	4.568097105	0.999443575000001	15	4.024499495	-2.040597885	15
