1	Bptf	Cbfa2t3h	Cdkn2a	Dnmt3a	Eif2b1	Erg	Ets1	Ets2	Etv6	Ezh2	Fli1	Foxo3a	Gata1	Gata2	Gata3	Gfi1	Gfi1b	Hhex	HoxA5	HoxA9	HoxB4	Ikzf1	Kit	Ldb1	Lmo2	Lyl1	Mecom	Meis1	Mitf	Mpl	Mrpl19	Myb	Nfe2	Notch1	Pbx1	Polr2a	Prdm16	Procr	Runx1	Sfpi1	Sh2b3	Smarcc1	Smarcc2	Tal1	Tcf7	Tet2	Ubc	Vwf
Gfi1_046	1.88324314	1.34386006	15	1.30938907	1.06753403	3.63945558	15	2.17359456	0.77363531	5.03596942	-1.40387337	-0.73712048	1.53285256	15	15	-3.03398169	15	1.93006321	15	15	15	3.08365569	-3.29789027	-0.23017629	0.50984983	-1.85428893	15	1.14036114	15	-0.55016523	1.68395322	-2.59679955	-0.48806747	15	0.16752825	1.77614836	15	15	0.80679245	2.7952026	15	-0.42693018	1.93328196	-1.31132603	15	2.57797829	-1.77614836	15
Gfi1_047	2.143822325	1.379515015	15	2.312823215	1.363164025	15	15	3.401333035	1.162655355	15	0.131179025	-0.852368315	1.074874905	-0.332002115	15	-2.316419255	15	1.843162455	15	15	15	0.527088235	-1.708785655	0.288420605	9.045074555	-1.564002675	15	2.193749465	3.194139945	0.534259795	1.601490975	-2.596088305	-0.808925625	15	2.385509335	1.638252845	15	15	0.915021185	3.315741815	15	1.580922685	2.284102035	0.605138205	15	4.803066385	-1.638252845	1.256525565
Gfi1_048	3.948243055	0.291162655	15	2.868874305	0.766952005	15	15	15	1.725112725	15	-0.102748505	-0.919818405	1.088260575	3.526524865	15	-4.050932755	15	15	15	15	15	0.159728085	-1.826309975	-0.109294745	-1.120959615	-0.859388165	15	0.043812015	15	-0.993480435	2.202286525	-2.453217425	-0.747293335	15	1.128007755	1.911769455	15	15	1.276679215	5.194381615	15	0.689796505	3.160168445	0.031348525	15	4.026678395	-1.911769455	3.001235305
Gfi1_049	2.578025865	1.129771655	15	2.347034475	0.576855215	2.486336155	15	2.112581695	0.325287275	15	-1.059828965	-0.743434815	15	2.856508085	15	-2.999530155	15	1.882549645	15	15	15	1.528966385	-2.836068465	0.612132065	1.338788945	-1.575281315	15	-0.110972295	2.932092235	-0.490708365	1.853691865	-1.817168885	-0.726397355	15	2.717065145	1.978335735	15	15	2.169907265	2.005621435	15	-0.377500515	2.062229145	-0.051771485	15	2.353136465	-1.978335735	15
Gfi1_050	3.78733617	1.78681552	15	1.08406715	2.16973517	2.60997398	15	15	1.01697331	15	-1.12358085	-0.28202009	15	15	2.54158967	-1.20931626	15	1.78267224	15	15	15	0.69280382	-3.0433738	2.42060851	0.83718203	-0.7312379	15	0.32220181	15	-1.43075042	2.27294241	-1.23208444	-0.48489825	15	15	1.74807617	15	3.25655114	1.72169573	1.49643053	15	1.34864182	3.13622479	-0.18366722	15	2.17091146	-1.74807617	15
Gfi1_051	2.491665315	1.701455275	15	15	1.619151165	15	15	15	15	15	2.910542215	-0.496441365	0.865539435	15	15	-0.228950545	15	15	3.494070415	15	15	0.632063895	-2.351643925	0.187576475	1.293539105	0.632459615	15	1.861724495	15	15	15	-2.352974325	0.941557255	15	3.354079195	1.155484515	15	15	1.470709315	8.313854535	15	0.713936255	2.661382315	-0.027922955	15	2.670096695	-1.155484515	15
Gfi1_052	2.935911965	0.572909785	15	3.404558315	0.189522805	15	15	8.269272555	0.775576065	4.415930315	-0.852673035	-0.336271535	3.098775945	1.363729725	15	-2.851371335	15	1.943830075	15	15	15	0.220853055	-2.746447955	2.413338215	-0.917321485	-1.724228735	15	-0.011932285	3.309047145	-0.683845045	1.584951095	-2.660216575	-0.236484035	15	1.009402505	2.800134905	15	15	1.357072335	2.593832395	15	0.685281495	3.404143695	-0.309523085	15	2.381210555	-2.800134905	15
Gfi1_053	2.071850535	1.656272645	15	15	3.348624215	1.112699515	15	15	2.106840995	15	0.678143425	-0.164891485	15	2.517895165	15	-0.922453715	15	15	15	15	15	1.101913895	-2.246101395	15	1.719173965	0.061342165	15	-0.068843695	8.120334405	0.345869185	1.633842465	-0.624269255	1.089937445	15	2.428362235	1.859418605	15	15	1.994204225	3.304427305	15	0.817549865	4.154066285	-0.730267275	15	2.821970745	-1.859418605	15
Gfi1_054	2.104481625	0.162093665	15	2.509346275	0.681696615	15	15	2.868123895	2.859451185	5.885983955	-0.550440025	-1.179837425	15	2.539919255	15	-3.835822765	15	15	15	15	15	1.188159815	-2.673187175	15	1.419971695	-2.002890215	15	-1.071534645	3.638177505	-1.417777795	1.247898975	-1.536845085	0.591616545	15	0.201499315	1.998027385	15	15	-0.023699845	2.128365055	15	0.220929595	1.606517285	-0.885582265	15	3.056386535	-1.998027385	15
Gfi1_055	4.020242445	0.095700945	15	2.419100925	0.244976065	15	15	15	1.179809165	15	-0.519738705	2.640593665	1.845007795	2.155354915	15	-2.210944385	15	2.420923565	15	15	3.111296235	1.646460395	-2.376270755	0.704008025	-0.346333865	-0.591759055	15	-0.959667755	2.709525075	-0.323814895	0.660661485	-1.487256035	0.341707125	15	2.933181975	1.426084995	15	15	2.060908325	2.434943675	15	-0.074607345	1.953984715	-0.702358075	15	2.611459795	-1.426084995	3.974052035
Gfi1_056	2.80905494	0.18833214	15	2.42890116	1.22403494	15	15	15	1.11079004	15	-0.93562499	-1.63548167	15	1.91980702	15	-3.17702072	15	15	15	15	15	1.32488822	-3.08118937	0.52618587	0.52243703	-1.80893298	15	-1.04202591	15	-1.58027478	1.82809309	-2.16892309	1.08205637	15	2.56566652	1.81866213	15	15	1.59063949	2.46814284	15	-0.5587046	5.14874588	-0.59896363	15	1.66333699	-1.81866213	15
Gfi1_057	3.852354085	3.176170375	15	3.283941395	1.285294305	15	15	15	2.525642435	15	1.096886945	1.211186435	1.279175725	15	15	-2.646620165	15	1.792053605	15	15	15	0.224416055	-1.694178355	-1.507088895	0.499361495	2.239568865	15	15	15	0.498805845	0.886808265	-1.440979695	-0.008022325	15	1.721395205	1.848105075	15	15	1.889004925	7.692841135	15	0.855956175	4.317358125	-0.968168035	15	2.260878985	-1.848105075	1.369997865
Gfi1_058	3.43202294	0.10142324	15	1.7184173	1.07316873	15	15	3.84264495	1.29066778	15	-0.60137889	-0.85815227	15	2.00500552	4.24664149	-2.46553136	15	15	15	15	15	1.57476307	-2.51652288	0.77509141	1.12025252	-1.1090636	15	-1.45459159	15	-1.00579645	2.76050388	-0.99215016	0.55975886	15	1.44498959	1.6972431	15	15	1.25796729	1.91392789	15	0.07525804	4.7891463	0.76206365	15	2.24866751	-1.6972431	15
Gfi1_059	3.47305033	0.99741616	15	2.34319112	1.25323938	4.93629084	15	2.72830475	1.51291811	15	0.10045238	1.12317857	2.17027029	3.01467154	15	-1.64681477	15	1.14710357	15	15	15	1.37958939	-3.55585733	1.84441517	1.57278604	-1.18701251	15	0.65855658	15	4.08990859	2.03506562	-1.83506785	0.70648427	15	2.64949244	1.45675216	15	15	1.26251485	4.25487584	15	-0.54674344	1.26231099	-1.39748913	15	2.54024824	-1.45675216	15
Gfi1_060	2.473838665	1.460758855	4.396109105	3.506355215	0.691513345	2.947398045	15	3.554455915	1.242033605	15	-1.050156665	-0.335784365	3.640253605	2.336033425	2.817908195	-1.323279975	15	15	15	15	15	2.073106835	-1.444679035	15	15	-1.650200675	15	1.251220265	3.266725445	-0.327377625	2.093803685	-1.709834615	0.529681715	15	1.612705935	1.945966745	15	15	1.263381515	3.093355575	15	2.586272415	15	-0.106461405	15	2.367105235	-1.945966745	15
Gfi1_061	2.29129325	0.24711687	15	4.24982994	0.73642199	15	15	3.16922659	2.47764754	7.02399784	-0.76119159	-0.53562186	15	0.70768125	15	-2.71745919	15	1.92095636	15	15	15	1.49916164	-1.45211304	1.30002768	1.86197997	-2.04087765	15	-1.37148932	3.74714878	-0.52978276	1.74450015	-2.2138519	0.41955829	15	10.30764793	2.50469571	15	15	3.13354937	2.15115136	15	0.16008192	3.96249331	0.72486886	15	2.82561189	-2.50469571	15
Gfi1_062	1.776298595	0.644070415	15	1.592918555	0.280469185	15	15	15	4.178308635	15	0.743318135	1.334909875	0.495076115	0.921913835	15	-4.609986975	15	15	15	15	15	0.069805795	-0.751783535	2.399859635	0.191793195	-2.035189805	15	-0.027151885	1.368888305	0.325896675	0.630034835	-0.266325815	-0.808197625	15	2.609948155	2.739416475	15	15	0.656853375	2.469950545	15	0.971906285	1.634819335	-0.119284725	15	2.584454735	-2.739416475	2.367657685
Gfi1_063	3.414559245	1.443602335	15	4.431728775	2.157075475	2.254780255	15	3.367399525	3.032497415	15	-0.360040585	-0.588958535	15	2.371865355	3.578119705	-1.479174875	15	2.946844475	15	15	15	1.424867485	-1.883679905	1.656188705	4.203203745	-1.363998545	15	-0.570397755	15	0.034507525	3.307017015	-0.786365485	1.466435605	15	3.793837065	1.637408715	15	15	2.600230835	3.519083575	15	-0.052644075	2.345130715	0.246578545	15	2.047992375	-1.637408715	15
